run,cycles,instructions,cpi,sp,ra,exception_flag,label
392,824664,824674,0.99,2147501408,2147484704,1,memory_fault
393,842598,843114,0.99,2147501408,2147484704,1,memory_fault
394,824360,824288,1.00,2147501408,2147484704,1,memory_fault
395,824556,824480,1.00,2147501408,2147484704,1,memory_fault
396,827368,827370,0.99,2147501408,2147484704,1,memory_fault
397,824604,824582,1.00,2147501408,2147484704,1,memory_fault
398,824348,824442,0.99,2147501408,2147484704,1,memory_fault
399,824650,824506,1.00,2147501408,2147484704,1,memory_fault
400,826900,826966,0.99,2147501408,2147484704,1,memory_fault
401,824418,824392,1.00,2147501408,2147484704,1,memory_fault
402,824828,824828,1.00,2147501408,2147484704,1,memory_fault
403,824722,824694,1.00,2147501408,2147484704,1,memory_fault
404,826318,826686,0.99,2147501408,2147484704,1,memory_fault
405,824156,824168,0.99,2147501408,2147484704,1,memory_fault
406,824644,824702,0.99,2147501408,2147484704,1,memory_fault
407,824596,824572,1.00,2147501408,2147484704,1,memory_fault
408,825854,825226,1.00,2147501408,2147484704,1,memory_fault
409,824268,824346,0.99,2147501408,2147484704,1,memory_fault
410,825212,825170,1.00,2147501408,2147484704,1,memory_fault
411,824580,824750,0.99,2147501408,2147484704,1,memory_fault
412,828218,827780,1.00,2147501408,2147484704,1,memory_fault
413,824296,824654,0.99,2147501408,2147484704,1,memory_fault
414,824360,824238,1.00,2147501408,2147484704,1,memory_fault
415,1873857,1876793,0.99,2147501408,2147484704,1,memory_fault
416,936486,935950,1.00,2147501408,2147484704,1,memory_fault
417,1053823,1053763,1.00,2147501408,2147484704,1,memory_fault
418,824802,824730,1.00,2147501408,2147484704,1,memory_fault
419,824460,824426,1.00,2147501408,2147484704,1,memory_fault
420,824608,824432,1.00,2147501408,2147484704,1,memory_fault
421,826040,826096,0.99,2147501408,2147484704,1,memory_fault
422,823800,823760,1.00,2147501408,2147484704,1,memory_fault
423,824242,824078,1.00,2147501408,2147484704,1,memory_fault
424,824388,824178,1.00,2147501408,2147484704,1,memory_fault
425,826464,826498,0.99,2147501408,2147484704,1,memory_fault
426,893290,893426,0.99,2147501408,2147484704,1,memory_fault
427,824758,824518,1.00,2147501408,2147484704,1,memory_fault
428,824358,824224,1.00,2147501408,2147484704,1,memory_fault
429,829004,828820,1.00,2147501408,2147484704,1,memory_fault
430,824810,824790,1.00,2147501408,2147484704,1,memory_fault
431,827198,826070,1.00,2147501408,2147484704,1,memory_fault
432,825212,824956,1.00,2147501408,2147484704,1,memory_fault
433,824692,824514,1.00,2147501408,2147484704,1,memory_fault
434,838736,839038,0.99,2147501408,2147484704,1,memory_fault
435,825028,825024,1.00,2147501408,2147484704,1,memory_fault
436,824570,824574,0.99,2147501408,2147484704,1,memory_fault
437,824444,824370,1.00,2147501408,2147484704,1,memory_fault
438,826964,826938,1.00,2147501408,2147484704,1,memory_fault
439,824498,824424,1.00,2147501408,2147484704,1,memory_fault
440,824496,824408,1.00,2147501408,2147484704,1,memory_fault
441,824296,824180,1.00,2147501408,2147484704,1,memory_fault
442,826236,826292,0.99,2147501408,2147484704,1,memory_fault
443,825304,825302,1.00,2147501408,2147484704,1,memory_fault
444,824090,824038,1.00,2147501408,2147484704,1,memory_fault
445,824710,824546,1.00,2147501408,2147484704,1,memory_fault
446,827178,827302,0.99,2147501408,2147484704,1,memory_fault
447,824926,824992,0.99,2147501408,2147484704,1,memory_fault
448,824138,824200,0.99,2147501408,2147484704,1,memory_fault
449,824606,824598,1.00,2147501408,2147484704,1,memory_fault
450,823816,823816,1.00,2147501408,2147484704,1,memory_fault
451,824498,824296,1.00,2147501408,2147484704,1,memory_fault
452,824266,824204,1.00,2147501408,2147484704,1,memory_fault
453,836908,836820,1.00,2147501408,2147484704,1,memory_fault
454,824644,824506,1.00,2147501408,2147484704,1,memory_fault
455,826912,826822,1.00,2147501408,2147484704,1,memory_fault
456,824202,824222,0.99,2147501408,2147484704,1,memory_fault
457,824388,824386,1.00,2147501408,2147484704,1,memory_fault
458,824188,824090,1.00,2147501408,2147484704,1,memory_fault
459,826980,826866,1.00,2147501408,2147484704,1,memory_fault
460,853832,853668,1.00,2147501408,2147484704,1,memory_fault
461,824082,823942,1.00,2147501408,2147484704,1,memory_fault
462,824448,824438,1.00,2147501408,2147484704,1,memory_fault
