cycles,instructions,cpi,sp,ra,exception_flag,label,label_enc
-0.413470093,-0.412418845,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.585836445,-0.586065594,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586731713,-0.586871111,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586486854,-0.586571638,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.573001543,-0.572273992,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586099888,-0.586381462,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586080212,-0.586251399,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586490133,-0.58663503,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586583048,-0.586670005,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.580582897,-0.58063027,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586487947,-0.586614264,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.548070142,-0.547956026,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.58662896,-0.586709352,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585227576,-0.585332214,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586530578,-0.586654704,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58681807,-0.586918109,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586653008,-0.586777116,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58661147,-0.586696236,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585399196,-0.585483043,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586807139,-0.586856902,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584886522,-0.584990115,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58666066,-0.586759628,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585421059,-0.585462277,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586666126,-0.586730118,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586866167,-0.586937782,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586613656,-0.586738862,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586732806,-0.586809905,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586510902,-0.58660552,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586567745,-0.586631751,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585099681,-0.585178105,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58660819,-0.58666454,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.557824078,-0.557821145,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.58667815,-0.586765093,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.548933709,-0.548870839,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.576787574,-0.576857349,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58629665,-0.586454691,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586571024,-0.586655796,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586707664,-0.586710445,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.585145592,-0.585218545,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586534951,-0.586640495,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585002393,-0.585099412,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586662846,-0.586712631,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584302794,-0.584290616,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586731713,-0.586803347,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586358958,-0.586452505,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586654101,-0.586773837,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586647543,-0.586719189,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586789649,-0.586924666,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586871633,-0.586945433,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585077818,-0.585108155,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586659567,-0.586777116,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585527092,-0.585603269,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586672684,-0.586739955,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585211179,-0.585258985,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586778717,-0.586894063,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586529485,-0.586639402,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586930661,-0.587037242,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586766693,-0.586861274,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.568722513,-0.567634894,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.585777417,-0.586015318,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586048511,-0.586132265,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586145799,-0.586306047,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584432876,-0.584460026,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586499971,-0.586547593,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586774345,-0.586750885,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586490133,-0.586589126,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585809117,-0.58576175,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586726247,-0.586699515,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.58680058,-0.586907179,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.572941968,-0.572958736,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586831187,-0.586918109,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58627916,-0.586249213,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586344748,-0.586394577,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586120657,-0.586158497,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584729112,-0.584794474,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586126123,-0.586156311,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586616935,-0.586727932,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586656288,-0.586683121,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586499971,-0.586545407,0.946702164,1.623924506,1.656974879,1,memory_fault,0
